Species	Min	Max	Median	Mean	StDev	Assembly_count	GC_Min	GC_Max	GC_Median	GC_Mean	GC_Stdev	GC_count	CDS_Min	CDS_Max	CDS_Median	CDS_Mean	CDS_Stdev	CDS_count	Consensus_TAXID
Burkholderia thailandensis E254	6.54339	6.67673	6.61006	6.61006	0.09428561820341425	2	67.5	67.5	67.5	67.5	0.0	2	5593	5594	5593.5	5593.5	0.7071067811865476	2	1249665
Lactobacillus helveticus	1.732996	2.270176	2.001766	1.9892878469387756	0.11729586629989618	196	36.5	36.5	36.5	36.5	0.0	154	1598	2158	1868.0	1846.7323232323233	112.50030599239408	198	1587
Methanococcoides methylutens	2.500446	2.584604	2.508511	2.531187	0.04643590176792091	3	42.5	43.5	42.5	42.833333333333336	0.5773502691896257	3	2437	2443	2439	2439.6666666666665	3.0550504633038935	3	2226
Thalassobacter sp. 16PALIMAR09	3.531868	3.531868	3.531868	3.531868	0.0	1	59.0	59.0	59.0	59.0	0	1	3395	3395	3395	3395	0	1	1225651
Helicobacter sp. MIT 05-5293	1.928308	1.928308	1.928308	1.928308	0.0	1	37.5	37.5	37.5	37.5	0	1	1882	1882	1882	1882	0	1	1548149
Helicobacter sp. MIT 05-5294	2.008603	2.008603	2.008603	2.008603	0.0	1	38.0	38.0	38.0	38.0	0	1	2077	2077	2077	2077	0	1	1548150
Helicobacter sp. MIT 03-1616	1.899163	1.899163	1.899163	1.899163	0.0	1	39.0	39.0	39.0	39.0	0	1	1879	1879	1879	1879	0	1	1548148
Helicobacter sp. MIT 11-5569	1.879498	1.879498	1.879498	1.879498	0.0	1	34.5	34.5	34.5	34.5	0	1	1932	1932	1932	1932	0	1	1548151
Helicobacter apodemus	2.067954	2.06816	2.068057	2.068057	0.0001456639969244288	2	33.0	33.0	33.0	33.0	0.0	2	1957	2135	2046.0	2046	125.86500705120545	2	135569
Helicobacter typhlonius	1.658596	1.964668	1.8253105	1.8216047701149425	0.060105555652193964	174	39.0	39.0	39.0	39.0	0.0	161	1641	1957	1817.0	1810.6264367816093	62.314358674840534	174	76936
Helicobacter bilis	2.098847	2.620399	2.306576	2.3398223529411766	0.1540133202891641	17	35.0	35.0	35.0	35.0	0.0	16	1906	2418	2177	2155.4117647058824	155.4751020354744	17	37372
Helicobacter muridarum	2.199043	2.225182	2.204574	2.20834325	0.011587830437575448	4	32.5	32.5	32.5	32.5	0.0	5	1873	1899	1880.5	1883.25	11.265729744080792	4	216
Helicobacter magdeburgensis	2.074223	2.074223	2.074223	2.074223	0.0	1	38.5	38.5	38.5	38.5	0	1	2120	2120	2120	2120	0	1	471858
