Species	Min	Max	Median	Mean	StDev	Assembly_count	GC_Min	GC_Max	GC_Median	GC_Mean	GC_Stdev	GC_count	CDS_Min	CDS_Max	CDS_Median	CDS_Mean	CDS_Stdev	CDS_count	Consensus_TAXID
Drosophila melanogaster	143.706478	143.706478	143.706478	143.706478	0.0	1	42.0	42.0	42.0	42.0	0	1	13962	13962	13962	13962	0	1	7227
Homo sapiens	3099.441038	3117.275501	3108.3582695	3108.3582695	12.610869726120578	2	41.0	41.0	41.0	41.0	0.0	2	20070	20076	20073.0	20073	4.242640687119285	2	9606
Mus musculus	2728.206152	2728.206152	2728.206152	2728.206152	0.0	1	42.0	42.0	42.0	42.0	0	1	22198	22198	22198	22198	0	1	10090
Arabidopsis thaliana	119.146348	119.146348	119.146348	119.146348	0.0	1	36.0	36.0	36.0	36.0	0	1	27562	27562	27562	27562	0	1	3702
Aplysia californica	927.296314	927.296314	927.296314	927.296314	0.0	1	40.5	40.5	40.5	40.5	0	1	19405	19405	19405	19405	0	1	6500
Strongylocentrotus purpuratus	921.840143	921.840143	921.840143	921.840143	0.0	1	37.5	37.5	37.5	37.5	0	1	27447	27447	27447	27447	0	1	7668
Canis lupus familiaris	2312.785471	2481.983352	2396.858295	2397.2090393333333	84.59948581352646	3	41.0	41.5	41.5	41.333333333333336	0.28867513459481287	3	20087	21175	20949	20737	574.1463228132703	3	9615
Plasmodium vivax	27.007701	27.007701	27.007701	27.007701	0.0	1	42.5	42.5	42.5	42.5	0	1	5392	5392	5392	5392	0	1	5855
Physcomitrium patens	471.971527	471.971527	471.971527	471.971527	0.0	1	33.5	33.5	33.5	33.5	0	1	21535	21535	21535	21535	0	1	3218
Giardia duodenalis	12.078186	12.078186	12.078186	12.078186	0.0	1	49.5	49.5	49.5	49.5	0	1	4965	4965	4965	4965	0	1	5741
Trypanosoma brucei brucei TREU927	26.075494	26.075494	26.075494	26.075494	0.0	1	46.5	46.5	46.5	46.5	0	1	8758	8758	8758	8758	0	1	185431
Bigelowiella natans	0.37287	0.37287	0.37287	0.37287	0.0	1	28.5	28.5	28.5	28.5	0	1	344	344	344	344	0	1	227086
Pyricularia oryzae 70-15	40.979121	40.979121	40.979121	40.979121	0.0	1	51.5	51.5	51.5	51.5	0	1	12825	12825	12825	12825	0	1	242507
Kluyveromyces lactis	10.689156	10.689156	10.689156	10.689156	0.0	1	39.0	39.0	39.0	39.0	0	1	5084	5084	5084	5084	0	1	28985
Chlamydomonas reinhardtii	111.098438	111.098438	111.098438	111.098438	0.0	1	64.0	64.0	64.0	64.0	0	1	17742	17742	17742	17742	0	1	3055
Aspergillus fumigatus Af293	29.384958	29.384958	29.384958	29.384958	0.0	1	50.0	50.0	50.0	50.0	0	1	9823	9823	9823	9823	0	1	330879
Aspergillus clavatus NRRL 1	27.859441	27.859441	27.859441	27.859441	0.0	1	49.0	49.0	49.0	49.0	0	1	9117	9117	9117	9117	0	1	344612
Leishmania major strain Friedlin	32.855089	32.855089	32.855089	32.855089	0.0	1	59.5	59.5	59.5	59.5	0	1	8316	8316	8316	8316	0	1	347515
Plasmodium falciparum 3D7	23.292622	23.292622	23.292622	23.292622	0.0	1	19.5	19.5	19.5	19.5	0	1	5282	5282	5282	5282	0	1	36329
Populus trichocarpa	392.162179	392.162179	392.162179	392.162179	0.0	1	34.0	34.0	34.0	34.0	0	1	29617	29617	29617	29617	0	1	3694
Leishmania braziliensis MHOM/BR/75/M2904	32.068771	32.068771	32.068771	32.068771	0.0	1	58.0	58.0	58.0	58.0	0	1	8160	8160	8160	8160	0	1	420245
Aspergillus niger	33.975768	33.975768	33.975768	33.975768	0.0	1	50.5	50.5	50.5	50.5	0	1	14058	14058	14058	14058	0	1	5061
Monosiga brevicollis MX1	41.63336	41.63336	41.63336	41.63336	0.0	1	55.0	55.0	55.0	55.0	0	1	9202	9202	9202	9202	0	1	431895
Leishmania infantum JPCM5	32.122061	32.122061	32.122061	32.122061	0.0	1	59.5	59.5	59.5	59.5	0	1	8150	8150	8150	8150	0	1	435258
Schizosaccharomyces pombe	12.57182	12.57182	12.57182	12.57182	0.0	1	36.0	36.0	36.0	36.0	0	1	5124	5124	5124	5124	0	1	4896
Guillardia theta	0.551264	0.551264	0.551264	0.551264	0.0	1	26.5	26.5	26.5	26.5	0	1	632	632	632	632	0	1	55529
Caenorhabditis elegans	100.272607	100.272607	100.272607	100.272607	0.0	1	35.5	35.5	35.5	35.5	0	1	19983	19983	19983	19983	0	1	6239
Brugia malayi	87.155713	87.155713	87.155713	87.155713	0.0	1	28.5	28.5	28.5	28.5	0	1	10905	10905	10905	10905	0	1	6279
Talaromyces stipitatus ATCC 10500	35.685443	35.685443	35.685443	35.685443	0.0	1	46.0	46.0	46.0	46.0	0	1	12455	12455	12455	12455	0	1	441959
Bifidobacterium longum subsp. longum ATCC 55813	2.396359	2.396359	2.396359	2.396359	0.0	1	60.5	60.5	60.5	60.5	0	1	1931	1931	1931	1931	0	1	548480
Sorghum bicolor	708.735318	708.735318	708.735318	708.735318	0.0	1	44.0	44.0	44.0	44.0	0	1	28236	28236	28236	28236	0	1	4558
Clostridioides difficile QCD-66c26	4.12775	4.12775	4.12775	4.12775	0.0	1	28.5	28.5	28.5	28.5	0	1	3648	3648	3648	3648	0	1	455631
Theileria annulata	8.35222	8.35222	8.35222	8.35222	0.0	1	32.5	32.5	32.5	32.5	0	1	3795	3795	3795	3795	0	1	5874
Uncinocarpus reesii 1704	22.327935	22.327935	22.327935	22.327935	0.0	1	48.5	48.5	48.5	48.5	0	1	7759	7759	7759	7759	0	1	336963
Blastomyces dermatitidis ER-3	66.568269	66.568269	66.568269	66.568269	0.0	1	37.0	37.0	37.0	37.0	0	1	9754	9754	9754	9754	0	1	559297
Branchiostoma floridae	513.445848	513.445848	513.445848	513.445848	0.0	1	41.5	41.5	41.5	41.5	0	1	26689	26689	26689	26689	0	1	7739
Blastomyces gilchristii SLH14081	75.353942	75.353942	75.353942	75.353942	0.0	1	36.0	36.0	36.0	36.0	0	1	9692	9692	9692	9692	0	1	559298
Bacillus mycoides DSM 2048	5.561906	5.561906	5.561906	5.561906	0.0	1	35.0	35.0	35.0	35.0	0	1	5399	5399	5399	5399	0	1	526997
Cucumis sativus	224.801081	224.801081	224.801081	224.801081	0.0	1	32.5	32.5	32.5	32.5	0	1	20040	20040	20040	20040	0	1	3659
Schizosaccharomyces cryophilus OY26	11.554764	11.554764	11.554764	11.554764	0.0	1	37.5	37.5	37.5	37.5	0	1	5155	5155	5155	5155	0	1	653667
Xenopus tropicalis	1451.283599	1451.283599	1451.283599	1451.283599	0.0	1	40.5	40.5	40.5	40.5	0	1	21826	21826	21826	21826	0	1	8364
Arabidopsis lyrata subsp. lyrata	206.667935	206.667935	206.667935	206.667935	0.0	1	36.0	36.0	36.0	36.0	0	1	29817	29817	29817	29817	0	1	81972
Glycine max	978.386919	978.386919	978.386919	978.386919	0.0	1	34.5	34.5	34.5	34.5	0	1	47068	47068	47068	47068	0	1	3847
Caenorhabditis briggsae	108.384165	108.384165	108.384165	108.384165	0.0	1	37.5	37.5	37.5	37.5	0	1	21922	21922	21922	21922	0	1	6238
Dictyostelium discoideum AX4	34.149409	34.149409	34.149409	34.149409	0.0	1	22.5	22.5	22.5	22.5	0	1	13289	13289	13289	13289	0	1	352472
Heterostelium album PN500	32.970186	32.970186	32.970186	32.970186	0.0	1	32.0	32.0	32.0	32.0	0	1	12367	12367	12367	12367	0	1	670386
Naegleria gruberi	40.964085	40.964085	40.964085	40.964085	0.0	1	33.0	33.0	33.0	33.0	0	1	15709	15709	15709	15709	0	1	5762
Brachypodium distachyon	271.163419	271.163419	271.163419	271.163419	0.0	1	46.5	46.5	46.5	46.5	0	1	25535	25535	25535	25535	0	1	15368
Alkalihalophilus pseudofirmus OF4	4.249248	4.249248	4.249248	4.249248	0.0	1	40.0	40.0	40.0	40.0	0	1	4178	4178	4178	4178	0	1	398511
Escherichia coli str. K-12 substr. MG1655	4.56105	4.675188	4.6418865	4.641273147058823	0.02588015217056611	34	51.0	51.0	51.0	51.0	0.0	33	4135	4384	4227.0	4255.071428571428	64.96768159298855	42	511145
Pediculus humanus corporis	110.781312	110.781312	110.781312	110.781312	0.0	1	27.5	27.5	27.5	27.5	0	1	10758	10758	10758	10758	0	1	121224
Candida tropicalis MYA-3404	14.579835	14.579835	14.579835	14.579835	0.0	1	33.0	33.0	33.0	33.0	0	1	6254	6254	6254	6254	0	1	294747
Plasmodium knowlesi strain H	24.359384	24.359384	24.359384	24.359384	0.0	1	38.5	38.5	38.5	38.5	0	1	5324	5324	5324	5324	0	1	5851
Perkinsus marinus ATCC 50983	86.605074	86.605074	86.605074	86.605074	0.0	1	47.5	47.5	47.5	47.5	0	1	23474	23474	23474	23474	0	1	423536
Cryptosporidium hominis TU502	8.74357	8.74357	8.74357	8.74357	0.0	1	31.0	31.0	31.0	31.0	0	1	3885	3885	3885	3885	0	1	353151
Debaryomyces hansenii CBS767	12.152486	12.152486	12.152486	12.152486	0.0	1	36.5	36.5	36.5	36.5	0	1	6282	6282	6282	6282	0	1	284592
Cryptosporidium muris RN66	9.245251	9.245251	9.245251	9.245251	0.0	1	28.5	28.5	28.5	28.5	0	1	3929	3929	3929	3929	0	1	441375
Toxoplasma gondii ME49	65.633124	65.633124	65.633124	65.633124	0.0	1	52.5	52.5	52.5	52.5	0	1	8318	8318	8318	8318	0	1	508771
Corynebacterium jeikeium K411	2.476822	2.476822	2.476822	2.476822	0.0	1	61.5	61.5	61.5	61.5	0	1	2076	2076	2076	2076	0	1	306537
Ureaplasma parvum serovar 3 str. ATCC 700970	0.751719	0.751719	0.751719	0.751719	0.0	1	25.5	25.5	25.5	25.5	0	1	608	608	608	608	0	1	273119
Yersinia pestis KIM10+	4.701745	4.701745	4.701745	4.701745	0.0	1	47.5	47.5	47.5	47.5	0	1	3944	3944	3944	3944	0	1	187410
Escherichia coli O157:H7 str. EDL933	5.276811	5.774699	5.585216	5.567833833333333	0.16504421024854724	6	50.5	50.5	50.5	50.5	0.0	6	4924	5354	5149.0	5152.666666666667	146.79464113742935	6	155864
Chlamydia muridarum str. Nigg	1.072945	1.072968	1.07295	1.0729515833333332	6.459078647121195e-06	12	40.5	40.5	40.5	40.5	0.0	14	877	891	884	883.6923076923077	3.400603264731504	13	243161
Xylella fastidiosa 9a5c	2.73175	2.73175	2.73175	2.73175	0.0	1	52.5	52.5	52.5	52.5	0	1	2383	2383	2383	2383	0	1	160492
Vibrio cholerae O1 biovar El Tor str. N16961	3.796959	4.033501	4.033464	3.9546413333333335	0.136556907647813	3	47.5	48.0	47.5	47.666666666666664	0.28867513459481287	3	3316	3541	3485	3447.3333333333335	117.13382659732983	3	243277
Pseudomonas aeruginosa PAO1	6.198557	6.275468	6.224679	6.23480045	0.024785837784540975	20	66.5	66.5	66.5	66.5	0.0	20	5655	5721	5679	5680.8421052631575	17.189347986777342	19	208964
Streptococcus pyogenes M1 GAS	1.852433	1.853025	1.852729	1.852729	0.0004186072144624362	2	38.5	38.5	38.5	38.5	0.0	2	1708	1712	1710.0	1710	2.8284271247461903	2	160490
Halobacterium salinarum NRC-1	2.57101	2.57101	2.57101	2.57101	0.0	1	66.0	66.0	66.0	66.0	0	1	2647	2647	2647	2647	0	1	64091
Pasteurella multocida subsp. multocida str. Pm70	2.257487	2.257487	2.257487	2.257487	0.0	1	40.5	40.5	40.5	40.5	0	1	2026	2026	2026	2026	0	1	272843
Neisseria gonorrhoeae FA 1090	2.153922	2.159546	2.156734	2.156734	0.003976768537393143	2	52.5	52.5	52.5	52.5	0.0	2	1929	1942	1935.5	1935.5	9.192388155425117	2	242231
Lactococcus lactis subsp. lactis Il1403	2.365589	2.365589	2.365589	2.365589	0.0	1	35.5	35.5	35.5	35.5	0	1	2258	2258	2258	2258	0	1	272623
Streptococcus pneumoniae TIGR4	2.153837	2.16334	2.1573455	2.157967	0.00486996160149133	4	39.5	39.5	39.5	39.5	0.0	5	1965	1968	1967.0	1966.75	1.2583057392117916	4	170187
Caulobacter vibrioides CB15	4.016947	4.016947	4.016947	4.016947	0.0	1	67.0	67.0	67.0	67.0	0	1	3823	3823	3823	3823	0	1	190650
Shigella flexneri 2a str. 301	4.660005	4.82882	4.7444125	4.7444125	0.11937023126600702	2	50.5	51.0	50.75	50.75	0.3535533905932738	2	3883	4313	4098.0	4098	304.05591591021545	2	198214
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	4.951383	4.951383	4.951383	4.951383	0.0	1	52.0	52.0	52.0	52.0	0	1	4554	4554	4554	4554	0	1	99287
Sinorhizobium meliloti 1021	6.691694	6.691694	6.691694	6.691694	0.0	1	62.0	62.0	62.0	62.0	0	1	5988	5988	5988	5988	0	1	266834
Chlorobaculum tepidum TLS	2.154946	2.154946	2.154946	2.154946	0.0	1	56.5	56.5	56.5	56.5	0	1	1988	1988	1988	1988	0	1	194439
Saccharolobus solfataricus P2	2.992245	2.992245	2.992245	2.992245	0.0	1	36.0	36.0	36.0	36.0	0	1	2859	2859	2859	2859	0	1	273057
Rickettsia conorii str. Malish 7	1.268755	1.268755	1.268755	1.268755	0.0	1	32.5	32.5	32.5	32.5	0	1	1331	1331	1331	1331	0	1	272944
Streptococcus pneumoniae R6	2.038615	2.038615	2.038615	2.038615	0.0	1	39.5	39.5	39.5	39.5	0	1	1856	1856	1856	1856	0	1	171101
Methanosarcina mazei Go1	4.096345	4.096345	4.096345	4.096345	0.0	1	41.5	41.5	41.5	41.5	0	1	3373	3373	3373	3373	0	1	192952
Caldanaerobacter subterraneus subsp. tengcongensis MB4	2.689445	2.730464	2.7099545	2.7099545	0.029004813057490992	2	37.5	37.5	37.5	37.5	0.0	2	2548	2585	2566.5	2566.5	26.16295090390226	2	273068
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	2.056363	2.200312	2.1283375	2.1283375	0.10178731404502232	2	46.0	46.5	46.25	46.25	0.3535533905932738	2	1734	1882	1808.0	1808	104.65180361560904	2	264203
Brucella melitensis bv. 1 str. 16M	3.283081	3.294931	3.2930115	3.29100875	0.00555203100225494	4	57.0	57.0	57.0	57.0	0.0	4	2941	3000	2982.5	2976.5	25.225648323350054	4	224914
Xanthomonas campestris pv. campestris str. ATCC 33913	5.076188	5.076188	5.076188	5.076188	0.0	1	65.0	65.0	65.0	65.0	0	1	4135	4135	4135	4135	0	1	190485
Xanthomonas citri subsp. citri 306	5.274168	5.274174	5.274171	5.274171	4.242640687119285e-06	2	64.5	64.5	64.5	64.5	0.0	2	4262	4271	4266.5	4266.5	6.363961030678928	2	1203463
Methanopyrus kandleri AV19	1.694969	1.694969	1.694969	1.694969	0.0	1	61.0	61.0	61.0	61.0	0	1	1778	1778	1778	1778	0	1	190192
Chlamydia pneumoniae TW-183	1.225935	1.225935	1.225935	1.225935	0.0	1	40.5	40.5	40.5	40.5	0	1	1039	1039	1039	1039	0	1	182082
Pyrobaculum aerophilum str. IM2	2.22243	2.22243	2.22243	2.22243	0.0	1	51.5	51.5	51.5	51.5	0	1	2563	2563	2563	2563	0	1	178306
Xylella fastidiosa Temecula1	2.521148	2.521148	2.521148	2.521148	0.0	1	52.0	52.0	52.0	52.0	0	1	2151	2151	2151	2151	0	1	183190
Streptococcus agalactiae 2603V/R	2.160267	2.160267	2.160267	2.160267	0.0	1	35.5	35.5	35.5	35.5	0	1	2053	2053	2053	2053	0	1	208435
Streptococcus pyogenes MGAS8232	1.895017	1.895017	1.895017	1.895017	0.0	1	38.5	38.5	38.5	38.5	0	1	1815	1815	1815	1815	0	1	186103
Pyrococcus furiosus DSM 3638	1.889914	1.908256	1.899085	1.899085	0.012969752580523655	2	41.0	41.0	41.0	41.0	0.0	2	2015	2025	2020.0	2020	7.0710678118654755	2	186497
Methanosarcina acetivorans C2A	5.751492	5.751492	5.751492	5.751492	0.0	1	42.5	42.5	42.5	42.5	0	1	4702	4702	4702	4702	0	1	188937
Buchnera aphidicola str. Sg (Schizaphis graminum)	0.641454	0.641454	0.641454	0.641454	0.0	1	25.5	25.5	25.5	25.5	0	1	568	568	568	568	0	1	198804
Shigella flexneri 2a str. 2457T	4.599354	4.825496	4.712425	4.712425	0.15990654171108823	2	50.5	51.0	50.75	50.75	0.3535533905932738	2	3834	4075	3954.5	3954.5	170.41273426595797	2	198215
Streptococcus pyogenes MGAS315	1.900521	1.900521	1.900521	1.900521	0.0	1	38.5	38.5	38.5	38.5	0	1	1818	1818	1818	1818	0	1	198466
Escherichia coli CFT073	5.231428	5.242376	5.236902	5.236902	0.007741405040430322	2	50.5	50.5	50.5	50.5	0.0	2	4684	4736	4710.0	4710	36.76955262170047	2	199310
Streptococcus mutans UA159	2.032925	2.032925	2.032925	2.032925	0.0	1	37.0	37.0	37.0	37.0	0	1	1863	1863	1863	1863	0	1	210007
Tropheryma whipplei str. Twist	0.927303	0.927303	0.927303	0.927303	0.0	1	46.5	46.5	46.5	46.5	0	1	841	841	841	841	0	1	203267
Brucella suis 1330	3.296001	3.315175	3.315163	3.3087796666666667	0.011066651586335107	3	57.5	57.5	57.5	57.5	0.0	3	3021	3031	3029	3027	5.291502622129181	3	204722
Bifidobacterium longum NCC2705	2.260266	2.260266	2.260266	2.260266	0.0	1	60.0	60.0	60.0	60.0	0	1	1787	1787	1787	1787	0	1	206672
Salmonella enterica subsp. enterica serovar Typhi str. Ty2	4.791936	4.805876	4.792436	4.796117857142857	0.006642407982766777	7	52.0	52.0	52.0	52.0	0.0	10	4255	4306	4285.5	4285.25	15.247950681976906	8	209261
Pseudomonas putida KT2440	6.178317	6.191241	6.181897	6.1831339000000005	0.003483343459315426	10	61.5	61.5	61.5	61.5	0.0	15	5476	5493	5487.0	5486.916666666667	4.100073909163841	12	160488
Porphyromonas gingivalis W83	2.343476	2.343476	2.343476	2.343476	0.0	1	48.5	48.5	48.5	48.5	0	1	1938	1938	1938	1938	0	1	242619
Chlamydia caviae GPIC	1.181356	1.181356	1.181356	1.181356	0.0	1	39.0	39.0	39.0	39.0	0	1	994	994	994	994	0	1	227941
Clostridium tetani E88	2.873333	2.873333	2.873333	2.873333	0.0	1	28.5	28.5	28.5	28.5	0	1	2752	2752	2752	2752	0	1	212717
Staphylococcus epidermidis ATCC 12228	2.474218	2.564615	2.527849	2.5222273333333334	0.04545994670403094	3	32.0	32.0	32.0	32.0	0.0	3	2245	2304	2288	2279	30.512292604784715	3	176280
Leifsonia xyli subsp. xyli str. CTCB07	2.584158	2.584158	2.584158	2.584158	0.0	1	67.5	67.5	67.5	67.5	0	1	2405	2405	2405	2405	0	1	281090
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	4.627366	4.627366	4.627366	4.627366	0.0	1	35.0	35.0	35.0	35.0	0	1	3599	3599	3599	3599	0	1	267671
Chromobacterium violaceum ATCC 12472	4.75108	4.75108	4.75108	4.75108	0.0	1	65.0	65.0	65.0	65.0	0	1	4340	4340	4340	4340	0	1	243365
Buchnera aphidicola str. Bp (Baizongia pistaciae)	0.618379	0.618379	0.618379	0.618379	0.0	1	25.5	25.5	25.5	25.5	0	1	517	517	517	517	0	1	224915
[Mannheimia] succiniciproducens MBEL55E	2.314078	2.314078	2.314078	2.314078	0.0	1	42.5	42.5	42.5	42.5	0	1	2080	2080	2080	2080	0	1	221988
Coxiella burnetii RSA 493	1.956938	2.07712	2.032807	2.0222883333333335	0.060777545543838254	3	42.5	42.5	42.5	42.5	0.0	3	1833	1861	1840	1844.6666666666667	14.571661996262929	3	227377
Enterococcus faecalis V583	3.258787	3.364308	3.344888	3.32821775	0.048765098355107755	4	37.5	37.5	37.5	37.5	0.0	4	3173	3218	3187.0	3191.25	19.29378138157474	4	226185
Pseudomonas syringae pv. tomato str. DC3000	6.53826	6.53826	6.53826	6.53826	0.0	1	58.5	58.5	58.5	58.5	0	1	5610	5610	5610	5610	0	1	223283
Bacillus cereus ATCC 14579	5.427083	5.450604	5.43797	5.43840675	0.01101993679277094	4	35.5	35.5	35.5	35.5	0.0	4	5259	5332	5306.0	5300.75	30.58730673552893	4	226900
Bacillus anthracis str. Ames	5.227293	5.227293	5.227293	5.227293	0.0	1	35.5	35.5	35.5	35.5	0	1	5015	5015	5015	5015	0	1	198094
Mycobacterium avium subsp. paratuberculosis K-10	4.807032	4.829781	4.8184065	4.8184065	0.01608597216521277	2	69.5	69.5	69.5	69.5	0.0	2	4287	4295	4291.0	4291	5.656854249492381	2	262316
Yersinia pestis biovar Microtus str. 91001	4.803217	4.803217	4.803217	4.803217	0.0	1	47.5	47.5	47.5	47.5	0	1	4044	4044	4044	4044	0	1	229193
Helicobacter hepaticus ATCC 51449	1.799146	1.799146	1.799146	1.799146	0.0	1	36.0	36.0	36.0	36.0	0	1	1799	1799	1799	1799	0	1	235279
Prochlorococcus marinus subsp. marinus str. CCMP1375	1.75108	1.75108	1.75108	1.75108	0.0	1	36.5	36.5	36.5	36.5	0	1	1859	1859	1859	1859	0	1	167539
[Haemophilus] ducreyi 35000HP	1.698955	1.698955	1.698955	1.698955	0.0	1	38.0	38.0	38.0	38.0	0	1	1539	1539	1539	1539	0	1	233412
Geobacter sulfurreducens PCA	3.814128	3.814128	3.814128	3.814128	0.0	1	61.0	61.0	61.0	61.0	0	1	3405	3405	3405	3405	0	1	243231
Wolbachia endosymbiont of Drosophila melanogaster	1.233787	1.274542	1.258182	1.2555458333333334	0.014602080155881485	12	35.0	35.5	35.0	35.142857142857146	0.2344036154692477	14	1087	1142	1110	1113.5384615384614	17.652267959176353	13	163164
Rickettsia typhi str. Wilmington	1.111496	1.111496	1.111496	1.111496	0.0	1	29.0	29.0	29.0	29.0	0	1	805	805	805	805	0	1	257363
Lactobacillus johnsonii NCC 533	1.992676	1.992676	1.992676	1.992676	0.0	1	34.5	34.5	34.5	34.5	0	1	1775	1775	1775	1775	0	1	257314
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	4.944	4.944	4.944	4.944	0.0	1	52.0	52.0	52.0	52.0	0	1	4414	4414	4414	4414	0	1	321314
Thermus thermophilus HB27	2.127482	2.143732	2.135607	2.135607	0.011490485194281396	2	69.5	69.5	69.5	69.5	0.0	2	2166	2201	2183.5	2183.5	24.748737341529164	2	262724
Brucella abortus bv. 1 str. 9-941	3.286445	3.286445	3.286445	3.286445	0.0	1	57.0	57.0	57.0	57.0	0	1	2982	2982	2982	2982	0	1	262698
Bacillus anthracis str. Sterne	5.228663	5.40912	5.3188915	5.3188915	0.1276023684125808	2	35.5	35.5	35.5	35.5	0.0	2	5035	5131	5083.0	5083	67.88225099390856	2	260799
Treponema denticola ATCC 35405	2.843201	2.843201	2.843201	2.843201	0.0	1	38.0	38.0	38.0	38.0	0	1	2545	2545	2545	2545	0	1	243275
Mesomycoplasma hyopneumoniae J	0.897405	0.897405	0.897405	0.897405	0.0	1	28.5	28.5	28.5	28.5	0	1	678	678	678	678	0	1	262719
Mesomycoplasma hyopneumoniae 7448	0.920079	0.920079	0.920079	0.920079	0.0	1	28.5	28.5	28.5	28.5	0	1	689	689	689	689	0	1	262722
Mycoplasmopsis synoviae 53	0.799476	0.799476	0.799476	0.799476	0.0	1	28.5	28.5	28.5	28.5	0	1	673	673	673	673	0	1	262723
Picrophilus oshimae DSM 9789	1.534155	1.545895	1.540025	1.540025	0.008301433611130067	2	36.0	36.0	36.0	36.0	0.0	2	1576	1578	1577.0	1577	1.4142135623730951	2	1122961
Listeria monocytogenes serotype 4b str. F2365	2.905187	2.905187	2.905187	2.905187	0.0	1	38.0	38.0	38.0	38.0	0	1	2773	2773	2773	2773	0	1	265669
Mesoplasma florum L1	0.793224	0.793224	0.793224	0.793224	0.0	1	27.0	27.0	27.0	27.0	0	1	688	688	688	688	0	1	265311
Methylococcus capsulatus str. Bath	3.304561	3.304561	3.304561	3.304561	0.0	1	63.5	63.5	63.5	63.5	0	1	3001	3001	3001	3001	0	1	243233
Cutibacterium acnes KPA171202	2.560265	2.560634	2.5604495	2.5604495	0.00026092240225783606	2	60.0	60.0	60.0	60.0	0.0	2	2339	2347	2343.0	2343	5.656854249492381	2	267747
Mycoplasma mobile 163K	0.777079	0.777079	0.777079	0.777079	0.0	1	25.0	25.0	25.0	25.0	0	1	656	656	656	656	0	1	267748
Wolbachia endosymbiont strain TRS of Brugia malayi	1.080084	1.080084	1.080084	1.080084	0.0	1	34.0	34.0	34.0	34.0	0	1	977	977	977	977	0	1	292805
Mesomycoplasma hyopneumoniae 232	0.892758	0.892758	0.892758	0.892758	0.0	1	28.5	28.5	28.5	28.5	0	1	677	677	677	677	0	1	295358
Bacillus licheniformis DSM 13 = ATCC 14580	4.222597	4.222645	4.222621	4.222621	3.394112549695428e-05	2	46.0	46.0	46.0	46.0	0.0	2	4175	4177	4176.0	4176	1.4142135623730951	2	279010
Bacillus anthracis str. 'Ames Ancestor'	5.503926	5.503926	5.503926	5.503926	0.0	1	35.0	35.0	35.0	35.0	0	1	5234	5234	5234	5234	0	1	261594
Idiomarina loihiensis L2TR	2.839318	2.839318	2.839318	2.839318	0.0	1	47.0	47.0	47.0	47.0	0	1	2639	2639	2639	2639	0	1	283942
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	3.397754	3.397754	3.397754	3.397754	0.0	1	38.5	38.5	38.5	38.5	0	1	2976	2976	2976	2976	0	1	272624
[Bacillus thuringiensis] serovar konkukian str. 97-27	5.314794	5.314794	5.314794	5.314794	0.0	1	35.5	35.5	35.5	35.5	0	1	5235	5235	5235	5235	0	1	281309
Thermotoga maritima MSB8	1.86961	1.869644	1.869612	1.869622	1.907878402833891e-05	3	46.0	46.0	46.0	46.0	0.0	4	1856	1859	1856	1857	1.7320508075688772	3	243274
Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	3.19385	3.344765	3.2464495	3.2541005833333334	0.0427158069410937	12	66.5	66.5	66.5	66.5	0.0	10	3050	3178	3110.5	3106.75	39.50402741263455	12	243230
Mycobacterium tuberculosis CDC1551	4.403837	4.406808	4.4053225	4.4053225	0.0021008142469052327	2	65.5	65.5	65.5	65.5	0.0	2	3859	3930	3894.5	3894.5	50.204581464244875	2	83331
Treponema pallidum subsp. pallidum str. Nichols	1.139628	1.139665	1.139633	1.139642	2.007485989988473e-05	3	53.0	53.0	53.0	53.0	0.0	4	974	986	977	979	6.244997998398398	3	243276
Aquifex aeolicus VF5	1.590791	1.590791	1.590791	1.590791	0.0	1	43.5	43.5	43.5	43.5	0	1	1743	1743	1743	1743	0	1	224324
Methanothermobacter thermautotrophicus str. Delta H	1.751377	1.751377	1.751377	1.751377	0.0	1	49.5	49.5	49.5	49.5	0	1	1802	1802	1802	1802	0	1	187420
Archaeoglobus fulgidus DSM 4304	2.1784	2.1784	2.1784	2.1784	0.0	1	48.5	48.5	48.5	48.5	0	1	2472	2472	2472	2472	0	1	224325
Borreliella burgdorferi B31	1.521208	1.521208	1.521208	1.521208	0.0	1	28.0	28.0	28.0	28.0	0	1	1456	1456	1456	1456	0	1	224326
Chlamydia trachomatis D/UW-3/CX	1.042519	1.042519	1.042519	1.042519	0.0	1	41.5	41.5	41.5	41.5	0	1	887	887	887	887	0	1	272561
Chlamydia pneumoniae CWL029	1.23023	1.23023	1.23023	1.23023	0.0	1	40.5	40.5	40.5	40.5	0	1	1037	1037	1037	1037	0	1	115713
Clostridium acetobutylicum ATCC 824	4.13288	4.13288	4.13288	4.13288	0.0	1	31.0	31.0	31.0	31.0	0	1	3836	3836	3836	3836	0	1	272562
Helicobacter pylori J99	1.643831	1.698366	1.6710985	1.6710985	0.03856206831200837	2	39.0	39.0	39.0	39.0	0.0	2	1458	1481	1469.5	1469.5	16.263455967290593	2	85963
